slice_id	semantic_entity	scope_root	android_arm64	android_armv7	ios_arm64	ios_armv7	evidence_status	implementation	analysis_report	verification	remaining_gap
MP-V05-WASMTIME-RENDER-DIAGNOSTICS-ANDROID-TRACE-FLATTEN	Wasmtime per-case 15 Hz render-stage diagnostic capture plus the supported Android 1.3.9 trace_flatten oracle lane; paired render-step and draw-dispatch comparison remains disabled until Android render offsets are independently rebased	Two motion playback cases; normalized layer traces are paired while render_prepare render_commands render_execute draw_dispatch and checkpoints are Wasmtime-only diagnostics	Android arm64 Redroid records only trace_flatten; run 33206772913 proved render_path fails closed because retained offsets belong to the retired 1.4.4 lane	Not an Android armv7 lane; active oracle infrastructure is arm64-only	Not an iOS lane; Wasmtime diagnostics do not establish iOS render equivalence	Not an iOS lane; Wasmtime diagnostics do not establish iOS render equivalence	EVIDENCE_BLOCKED	.github/workflows/differential.yml; tests/differential/oracle_runner/frida_motion_stage_agent.js; tests/differential/python/run_motion_playback_wasmtime.py; analysis/motionplayer_v05_render_trace_status.tsv	analysis/motionplayer_render_stage_draw_dispatch_render_step_trace_differential_2026-08-28.md	Current Wasmtime 15 Hz capture has 88 frames 1472 events and 176 audited PNGs; run 32971807749 confirms Android trace_flatten succeeds; run 33206772913 confirms unrebased render stages are rejected	Rebase every required render-stage hook to Kirikiroid2 1.3.9 before re-enabling Android render artifacts or render-step/draw-dispatch comparators; historical 1.4.4 and self-comparisons are not promoted
MP-V06-WEB-DEBUG-FORMAL-BUILD	Formal current-worktree Web Debug configure full compile final link and fixed product integrity verification	CMake Web Debug Config with the complete wasm32-emscripten application and all motionplayer translation units	Current Web source formally compiled and linked; Android columns are not runtime claims	Not a native Android armv7 build or runtime lane	Current Web source formally compiled and linked; iOS columns are not runtime claims	Not a native iOS armv7 build or runtime lane	VERIFIED	CMakePresets.json; CMakeLists.txt; cpp/plugins/motionplayer/CMakeLists.txt; cpp/plugins/motionplayer/Player.h; cpp/plugins/motionplayer/main.cpp; out/web/debug/index.html; out/web/debug/index.js; out/web/debug/index.wasm; out/web/debug/vlfs.js; out/web/debug/assets.zip; analysis/motionplayer_v06_web_build_products.tsv	analysis/motionplayer_web_debug_build_2026-08-28.md	CMake 4.4.3 configured Debug with vcpkg wasm32-emscripten and Emscripten 4.0.23; Ninja completed the final index.html link; all five fixed products exist and their sizes and SHA-256 digests were freshly recorded	No MP-V06 build gap; motionplayer unit/runtime and diagnostic non-regression remain MP-V07 and MP-V08, while cross-platform differential gaps remain MP-V03 through MP-V05
MP-V04-CURRENT-HEAD-ADB-MOTION-ORACLE-88-FRAMES	Exact-current-HEAD Android libgame motion playback oracle capture for m2logo and yuzulogo with verified immutable artifact digest normalized disk schema frame continuity and layer snapshot integrity	2 motion_playback cases 88 normalized frames and 2418 per-layer snapshots	Fresh arm64 Redroid ADB plus Frida capture at commit 5cc45b36 with artifact id 9608002821 and archive digest aab64d950c7f31a35f42187a6b8b8e6531f5ab15491de45427cebb9c1f725d12	Not an armv7 runtime lane; Android oracle workflow is intentionally arm64-only	Not an iOS runtime lane; current artifact is the Android 1.3.9 oracle projection	Not an iOS runtime lane; current artifact is the Android 1.3.9 oracle projection	VERIFIED	.github/workflows/differential.yml; tests/differential/python/run_motion_playback.py; tests/differential/python/compare_motion_playback_traces.py; tests/differential/oracle_runner/adapters/motion_playback.py; analysis/motionplayer_v04_trace_artifacts.tsv	analysis/motionplayer_motion_playback_native_adb_wasmtime_trace_differential_2026-08-28.md	Exact-head ADB job captured m2logo 25 frames 843 layer snapshots and yuzulogo 63 frames 1575 layer snapshots; current-worktree Wasmtime and freshly rebuilt native each reproduce all 88 frames and 2418 snapshots with zero independent-comparator mismatches	No MP-V04 gap; Android oracle current Wasmtime and native lanes are all present
MP-V03-SCALAR-WASMTIME-CLI-21-OF-21	Current-source geometry hit-test Bezier curve and position interpolation scalar differential execution through independent Wasmtime CLI with exact existing-spec comparison	10 geometry_hit_test specs 6 bezier_curve specs and 5 position_interp specs	Historical Android scalar oracle is not promoted to current evidence; repeated local audit has no adb/emulator/Docker/APK/prebuilt harness and latest public CI has no scalar ADB lane	Not an ADB armv7 lane; current scalar oracle harness is arm64-only	Not an iOS lane; this slice verifies the reconstructed WebAssembly implementation against existing scalar expectations	Not an iOS lane; this slice verifies the reconstructed WebAssembly implementation against existing scalar expectations	VERIFIED	tests/differential/run_all.py; tests/differential/python/run_scalar_wasmtime_cli.py; tests/differential/python/run_scalar_wasmtime_direct.py; tests/differential/python/run_geometry_hit_test_wasmtime.py; tests/differential/python/run_bezier_curve_wasmtime.py; tests/differential/python/run_position_interp_wasmtime.py; tests/differential/python/wasm_lldb_runner.py; tests/differential/wasmtime/CMakeLists.txt; tests/differential/wasmtime/bezier_curve_wasm.cpp; tests/differential/wasmtime/position_interp_wasm.cpp; analysis/motionplayer_v03_differential_results.tsv	analysis/motionplayer_geometry_bezier_position_hit_test_wasmtime_adb_differential_2026-08-28.md	Fresh Emscripten 6.0.8 builds at HEAD 5cc45b36 executed through independent Wasmtime CLI 31.0.0: geometry 10/10 Bezier 6/6 position 5/5 total 21/21 exact expected equality; no spec or expected changes; result TSV has one unique PASS row per case	MP-V03 has a terminal EVIDENCE_BLOCKED Android lane until the existing runners can execute on a rooted arm64 device with the harness APK; no historical result is promoted
MP-V02-EXISTING-FIXTURE-SUPPLEMENT-DECISIONS	Complete existing-material-only decision ledger for every MP-V01 no-existing-test association including reused tests one added geometry facade test explicit failure-injection and static-only gaps local platform regressions and trace-only work	102 MP-V01 no-test task-slice associations across 55 unique qualified slices	Consumes prior Android arm64 evidence and never synthesizes a new binary fixture	Consumes prior Android armv7 evidence and never synthesizes a new binary fixture	Consumes prior iOS arm64 evidence and never synthesizes a new binary fixture	Consumes prior iOS armv7 evidence and never synthesizes a new binary fixture	VERIFIED	tools/motionsim/generate_fixture_decisions.py; analysis/motionplayer_fixture_decisions.tsv; tests/unit-tests/plugins/motionplayer-dll.cpp:22410	analysis/motionplayer_existing_fixture_supplement_decisions_2026-08-28.md	generator classified all 102 associations and 55 unique slices as 91 reused existing fixture 5 added existing-fixture geometry associations 2 missing failure-injection fixture 2 static-only observations 1 local platform-boundary regression and 1 trace differential; 97 rows map current TEST_CASE names and five explicit gaps fabricate no material	Formal unit execution remains MP-V07; two constructor-failure rows lack current injection material two foreign ABI rows remain static-only and the complete frame row proceeds to MP-V04/MP-V05
MP-V01-VERTICAL-SLICE-EXISTING-UNIT-TEST-MAP	Complete original-ticket to current coverage-slice to existing runtime TEST_CASE compile-time contract or explicit no-existing-test verification matrix for every closed A L C D R G vertical slice	127 closed vertical tasks and 149 unique qualified coverage slices	Consumes the Android arm64 disposition already recorded by each of 149 source slices	Consumes the Android armv7 disposition already recorded by each of 149 source slices	Consumes the iOS arm64 disposition already recorded by each of 149 source slices	Consumes the iOS armv7 disposition already recorded by each of 149 source slices	VERIFIED	tools/motionsim/generate_verification_matrix.py; analysis/motionplayer_vertical_test_matrix.tsv; tests/unit-tests/plugins/motionplayer-dll.cpp	analysis/motionplayer_vertical_slice_existing_unit_test_map_2026-08-28.md	generator reproduced 127 vertical tasks 294 task-slice associations and 149 unique slices; 190 runtime-test associations 2 compile-time-contract associations and 102 explicit no-test associations; task rollup 101 with runtime tests and 26 without; Python compile and strict 8-field TSV checks pass	MP-V02 must evaluate explicit no-test rows using only existing fixtures; native ADB Wasmtime trace build and runtime strength remain MP-V03 through MP-V08
MP-B12-DEAD-VALUE-NOOP-REFCOUNT-UNINITIALIZED-INACTIVE-TAIL	Cross-cutting dead store dead result retained Variant String Object temporary AddRef Release owner lexical lifetime uninitialized local and member selective construction copy-propagated dormant payload inactive tail serialization omission and trivial versus nontrivial destruction audit across Player MotionNode geometry controllers spring cache resource Bezier anchor prepared renderer lowercase and wind	motionplayer.dll + emoteplayer.dll + PSBFile raw layer + TJS string runtime	Player/node/point/var/blink/selector/spring/load/tint/obj/bounds/mesh/eval/anchor/prepared/D3D/lower/wind@0x6CC110/0x6B1058/0x6DCBC4/0x664410/0x65FD48/0x66B778/0x678B28/0x6A4F88/0x6A48F8/0x6D7834/0x6A264C/0x6A2A04/0x6A2D6C/0x6BD908/0x6BF714/0x6AB39C/0xA0AB28/0x66DEDC	Player/node/point/var/blink/selector/spring/load/tint/obj/bounds/mesh/eval/anchor/prepared/D3D/lower/wind@0x5935C4/0x580FA4/0x59D858/0x554180/0x551B34/0x5583B6/0x55EE98/0x57ACC8/0x57A754/0x599A34/0x579258/0x5794F8/0x5797A0/0x589C00/0x58B178/0x57D3DC/0x75EA48/0x559900	Player/node/point/var/blink/selector/spring/load/tint/obj/bounds/mesh/eval/anchor/prepared/D3D/lower/wind@0x10011EC04/0x100108720/0x10012CF5C/0x1001A4AD0/0x1001A1C8C/0x1001B7DFC/0x1001B29D0/0x1001009AC/0x10010032C/0x10012686C/0x1000FE804/0x1000FEAB8/0x1000FEE38/0x100113024/0x1001148F8/0x100104450/0x1001A0614/0x1001AC718	Player/node/point/var/blink/selector/spring/load/tint/obj/bounds/mesh/eval/anchor/prepared/D3D/lower/wind@0x11D488/0x105E70/0x12BA08/0x1A3FEC/0x1A0E50/0x1B75EC/0x1B24D8/0xFDB50/0xFD4B4/0x125D4C/0xFB868/0xFBBDC/0xFC014/0x110908/0x1123D8/0x101850/0x19F838/0x1ABF24	IMPLEMENTED	cpp/plugins/motionplayer/Player.h:1395; cpp/plugins/motionplayer/Player.h:1498; cpp/plugins/motionplayer/Player.h:1581; cpp/plugins/motionplayer/MotionNode.h:203; cpp/plugins/motionplayer/MotionNode.h:217; cpp/plugins/motionplayer/EmoteAngleController.h:29; cpp/plugins/motionplayer/EmoteVarController.cpp:11; cpp/plugins/motionplayer/EmoteBlinkController.h:46; cpp/plugins/motionplayer/EmoteEngine.h:372; cpp/plugins/motionplayer/EmoteEngine.cpp:1626; cpp/plugins/motionplayer/SourceCache.h:41; cpp/plugins/motionplayer/SourceCache.cpp:511; cpp/plugins/motionplayer/PlayerResource.cpp:88; cpp/plugins/psbfile/PSBFile.cpp:201; cpp/plugins/motionplayer/MotionLayerExtensions.cpp:300; cpp/plugins/motionplayer/MotionLayerExtensions.cpp:806; cpp/plugins/motionplayer/PlayerUpdateAnchor.cpp:8; cpp/plugins/motionplayer/RuntimeSupport.h:68; cpp/plugins/motionplayer/MotionRenderBackend.h:100; cpp/core/tjs2/tjsString.cpp:90; cpp/plugins/motionplayer/EmoteWindEmitter.cpp:6	analysis/motionplayer_dead_value_noop_refcount_uninitialized_inactive_tail_four_binary_2026-08-28.md	fresh four 72 independent entries and internal ranges 23727 complete instructions 230 xrefs_to and 73 xrefs_from; exact dead-result dead-store temporary-owner selective-initialization copy-serialize-destroy and inactive-tail taxonomy; production matched; undefined residue deliberately not frozen into tests; 72 IDB anchors 4 bookmarks four IDBs saved	No MP-B12 task-local static gap; formal build unit runtime and differential verification remain MP-V01 through MP-V08 and final denominator acceptance remains MP-V09 through MP-V16
MP-B11-ANDROID-IOS-ARM64-ARMV7-DIFFERENCE-CLASSIFICATION	Cross-cutting difference attribution ledger separating real OS pointer-width and STL-family source conditions from ABI pointer alignment calling-convention exception and Thumb representation target STL vector deque list tree unordered string policy compiler inline tail-merge vectorization FMA compare-select guard and dead-strip effects explicit ISA FP and Web GPU runtime boundaries and final-audit evidence blocks	motionplayer.dll + emoteplayer.dll + DrawDeviceD3D dependency + TJS runtime + core plugin loader	Player/Engine/Resource/SLA/vector/deque/unordered/list/cursor/skip/wind/atlas/clear/autoload/calcView/basis@0x6CC110/0x67B76C/0x6A5CAC/0x6C3DB4/0xA72C14/0x6DFC90/0x685060/0x6E8040/0x6D6AC4/0x6D0B84/0x66DD8C/0x6931C8/0x6AB08C/0x907618/0x6CE908/0x69DE30	Player/Engine/Resource/SLA/vector/deque/unordered/list/cursor/skip/wind/atlas/clear/autoload/calcView/basis@0x5935C4/0x560948/0x57B1EC/0x58DBDC/0x7970B0/0x5A099C/0x5669AC/0x5A67DE/0x598F18/0x595DA6/0x559900/0x570F54/0x57D184/0x6C77BC/0x594958/0x576C7C	Player/Engine/Resource/SLA/vector/deque/unordered/list/cursor/skip/wind/atlas/clear/autoload/calcView/basis@0x10011EC04/0x1001B7FB0/0x100101158/0x1001298C4/0x1002DC360/0x1000FAED8/0x1001A6938/0x100100E54/0x1001255FC/0x100121C40/0x1001AC718/0x1000F4098/0x100104130/0x1003F1CD4/0x1001201CC/0x1000FB4A8	Player/Engine/Resource/SLA/vector/deque/unordered/list/cursor/skip/wind/atlas/clear/autoload/calcView/basis@0x11D488/0x1B7788/0xFE254/0x128890/0x2DBD28/0xF7F90/0x1A6074/0xFDFB0/0x12480C/0x1209BA/0x1ABF24/0xF0BE4/0x10149C/0x3D923C/0x11EED4/0xF854C	IMPLEMENTED	cpp/plugins/motionplayer/internal/player_containers.h; cpp/plugins/motionplayer/Player.h:1356; cpp/plugins/motionplayer/EmoteEngine.h:115; cpp/plugins/motionplayer/ResourceManager.h:63; cpp/plugins/motionplayer/SourceCache.h:100; cpp/plugins/motionplayer/SeparateLayerAdaptor.h:39; cpp/plugins/motionplayer/PlayerCore.cpp:858; cpp/plugins/motionplayer/PlayerResource.cpp:201; cpp/core/plugin/PluginImpl.cpp:78; cpp/plugins/motionplayer/PlayerTimeline.cpp:69; cpp/plugins/motionplayer/MotionRenderBackend.cpp:195; analysis/motionplayer_coverage.tsv	analysis/motionplayer_android_ios_arm64_armv7_difference_classification_four_binary_2026-08-28.md; analysis/motionplayer_stl_container_source_attribution_four_binary_2026-08-27.md; analysis/motionplayer_nan_inf_negative_zero_subnormal_divzero_unordered_four_binary_2026-08-28.md; analysis/motionplayer_web_cocos_render_platform_boundaries_four_binary_2026-08-28.md	fresh four 64 independent attribution ranges 18086 complete untruncated instructions 301 xrefs_to and 67 xrefs_from; exact source-condition ABI STL compiler-linker ISA-FP Web-runtime and evidence-blocked taxonomy; zero task-local UNKNOWN; production matched; 64 comments 4 bookmarks four IDBs saved	No MP-B11 task-local unexplained difference; underlying two ISA-FP and one Web render PLATFORM_BOUNDARY slices remain explicit while final acceptance is still blocked by MP-F03 through MP-F08
MP-B08-ALIAS-OUTPUTS-SAME-OBJECT-MULTIPLE-ARGS-BORROWED-INVALIDATION	Cross-cutting storage closure argument result container and borrowed-subobject alias audit for Variant safe self assignment PSB holder unsafe self assignment native scalar output overlap source-equals-target owner-parent and Object-ObjThis identity persistent result slots shared command closures duplicate pointers native Array Items PSB interior nodes texture handoff and borrowed lifetime invalidation	motionplayer.dll + emoteplayer.dll + PSBFile raw layer + DrawDeviceD3D dependency + TJS runtime	SLAassign/PSB/spring/chain/isExist/source/commands/calcView/targetSet/layerFactory/buf/array/capture/draw/motionKey/assignTexture@0x6A97F0/0x599038/0x65FB48/0x665D84/0x6CDBD4/0x691CC8/0x6D0E2C/0x6CE908/0x6EC600/0x6CB660/0x6A58DC/0x702098/0x6AAD0C/0x6D3398/0x67C6C0/0x8071A0	SLAassign/PSB/spring/chain/isExist/source/commands/calcView/targetSet/layerFactory/buf/array/capture/draw/motionKey/assignTexture@0x57C814/0x4DD49C/0x551910/0x555010/0x5942F4/0x570500/0x595FF0/0x594958/0x5AA8EC/0x57AC1C/0x57B060/0x5BAA70/0x57CF94/0x597864/0x560FD4/0x6308A8	SLAassign/PSB/spring/chain/isExist/source/commands/calcView/targetSet/layerFactory/buf/array/capture/draw/motionKey/assignTexture@0x10010347C/0x1000EDA48/0x1001A1A8C/0x1001A5BDC/0x10011F558/0x1000F316C/0x100121EB0/0x1001201CC/0x10013DC58/0x1001008A8/0x100100F84/0x10029FF58/0x100103DBC/0x100123C84/0x1001B4F68/0x10007A164	SLAassign/PSB/spring/chain/isExist/source/commands/calcView/targetSet/layerFactory/buf/array/capture/draw/motionKey/assignTexture@0x100874/0xE9D10/0x1A0BE0/0x1A51CC/0x11E054/0xEF97C/0x120CF8/0x11EED4/0x13E812/0xFDA14/0xFE11A/0x2A4A80/0x10116E/0x122F28/0x1B4B38/0x772FC	IMPLEMENTED	cpp/plugins/psbfile/PSBRawFile.h:78; cpp/plugins/motionplayer/SeparateLayerAdaptor.cpp:331; cpp/plugins/motionplayer/EmoteSpring.cpp:118; cpp/plugins/motionplayer/EmoteSpring.cpp:270; cpp/plugins/motionplayer/PlayerResource.cpp:760; cpp/plugins/motionplayer/PlayerResource.cpp:861; cpp/plugins/motionplayer/PlayerLayerQuery.cpp:436; cpp/plugins/motionplayer/PlayerLayerQuery.cpp:788; cpp/plugins/motionplayer/RuntimeSupport.cpp:235; cpp/plugins/motionplayer/SourceCache.cpp:733; cpp/plugins/motionplayer/D3DAdaptor.cpp:73; cpp/plugins/motionplayer/PlayerDrawDispatch.cpp:25; cpp/core/tjs2/tjsVariant.cpp:320; tests/unit-tests/plugins/motionplayer-dll.cpp:9381; tests/unit-tests/plugins/motionplayer-dll.cpp:11664; tests/unit-tests/plugins/motionplayer-dll.cpp:14698; tests/unit-tests/plugins/motionplayer-dll.cpp:15057; tests/unit-tests/plugins/motionplayer-dll.cpp:16106; tests/unit-tests/plugins/motionplayer-dll.cpp:17141	analysis/motionplayer_alias_outputs_same_object_multiple_arguments_borrowed_invalidation_four_binary_2026-08-28.md	fresh four 64 independent alias-owner ranges 18420 complete untruncated instructions 688 xrefs_to and 64 xrefs_from; exact storage closure argv result output pointer container identity source-target self-assignment and borrowed-lifetime taxonomy; production matched; existing alias tests mapped; 64 comments 4 bookmarks four IDBs saved	No MP-B08 task-local static gap; formal native unit Web Debug malicious-dispatch overlap and cross-reference alias-lifetime verification remains MP-V work
MP-B07-CALLBACK-REENTRY-OWNER-CLEAR-CONTAINER-GROWTH-OBJECT-REPLACEMENT	Cross-cutting synchronous callback reentry audit for retained dispatch Variant and slot snapshots live field rereads raw node item source child listener borrows owner clear object replacement deque vector list unordered ordered container growth clear erase rehash invalidation recursive module load and absence of global generation or reentry fences	motionplayer.dll + emoteplayer.dll + DrawDeviceD3D dependency + core module loader	play/loadResult/frame/update/source/Canvas/prepared/privateGLL/D3D/mesh/clear/listener/drawTexture/engine/particle/LoadModule@0x6AF664/0x6AE2F0/0x6BE44C/0x6B871C/0x691CC8/0x6C4820/0x6BF714/0x6DBB18/0x6AB39C/0x69AFE4/0x6A5818/0x5311C8/0x6D3048/0x67A3F8/0x6BC4BC/0x701DE8	play/loadResult/frame/update/source/Canvas/prepared/privateGLL/D3D/mesh/clear/listener/drawTexture/engine/particle/LoadModule@0x580158/0x57F654/0x58A63A/0x5856E0/0x570500/0x58E2CC/0x58B178/0x59CB20/0x57D3DC/0x575800/0x57B018/0x4952AC/0x5976AC/0x55FEF0/0x588A48/0x5BA8E8	play/loadResult/frame/update/source/Canvas/prepared/privateGLL/D3D/mesh/clear/listener/drawTexture/engine/particle/LoadModule@0x100107540/0x1001067BC/0x100113B50/0x10010E544/0x1000F316C/0x1001186E0/0x1001148F8/0x10012B7D0/0x100104450/0x1000F974C/0x100100F10/0x100233720/0x100123970/0x1001B4304/0x100111D08/0x10029FDE4	play/loadResult/frame/update/source/Canvas/prepared/privateGLL/D3D/mesh/clear/listener/drawTexture/engine/particle/LoadModule@0x104AE8/0x103BBC/0x111556/0x10BE5C/0xEF97C/0x11653C/0x1123D8/0x12A304/0x101850/0xF685C/0xFE0D4/0x23259A/0x122C10/0x1B3E10/0x10F51C/0x2A48FC	IMPLEMENTED	cpp/plugins/motionplayer/PlayerTimeline.cpp:95; cpp/plugins/motionplayer/PlayerCore.cpp:442; cpp/plugins/motionplayer/PlayerFrameProgress.cpp:915; cpp/plugins/motionplayer/PlayerUpdateLayers.cpp:11; cpp/plugins/motionplayer/PlayerResource.cpp:665; cpp/plugins/motionplayer/PlayerRenderTargets.cpp:900; cpp/plugins/motionplayer/PlayerRenderTargets.cpp:1064; cpp/plugins/motionplayer/PlayerRenderItems.cpp:500; cpp/plugins/motionplayer/PrivateMotionGLL.cpp:577; cpp/plugins/motionplayer/MotionRenderBackend.cpp:503; cpp/plugins/motionplayer/SourceCache.cpp:743; cpp/plugins/DrawDeviceD3D.cpp:337; cpp/plugins/motionplayer/PlayerUpdateParticles.cpp:248; cpp/core/plugin/ncbind.cpp:18; tests/unit-tests/plugins/motionplayer-dll.cpp:7460; tests/unit-tests/plugins/motionplayer-dll.cpp:9943; tests/unit-tests/plugins/motionplayer-dll.cpp:22668; tests/unit-tests/plugins/motionplayer-dll.cpp:25253; tests/unit-tests/plugins/motionplayer-dll.cpp:26768; tests/unit-tests/plugins/motionplayer-dll.cpp:30584	analysis/motionplayer_callback_reentry_owner_clear_container_growth_object_replacement_four_binary_2026-08-28.md	fresh four 64 independent callback and borrow ranges 39730 complete untruncated instructions 172 xrefs_to and 65 xrefs_from; exact snapshot live-reread raw-borrow container-invalidation object-replacement listener source particle render and recursive-module taxonomy; production matched; existing reentry tests mapped; 64 comments 4 bookmarks four IDBs saved	No MP-B07 task-local static gap; formal native unit Web Debug controlled reentrant-dispatch and cross-reference invalidation verification remains MP-V work
